origin,dest,distance
-122.295047247.6129476,-122.293857847.6129475,0.000123
-122.302522247.6202155,-122.302541847.6193397,0.999999762
-122.289332347.612895,-122.289330847.6129666,0.002472623
-122.304895747.615292,-122.304880447.617125,0.002472623
-122.305021847.6100206,-122.304962247.6129225,0.817574476
-122.304962247.6129225,-122.304895747.615292,0.00071
-122.28935347.6116374,-122.289339147.6124924,0.952574127
-122.30270447.6129416,-122.302713847.6122269,0.999986993
-122.302726647.6115743,-122.30275347.6100135,0.989013057
-122.296556547.6232352,-122.296414947.6233284,0.989013057
-122.301265747.620049,-122.301152247.6201258,0.985936373
-122.302522247.6202155,-122.30189847.6202131,0.999978555
-122.304703547.6232034,-122.304733847.621393,0.002472623
-122.30473447.6213814,-122.304765347.6202166,0.99929033
-122.304703547.6232034,-122.303567247.6231836,0.005220126
-122.304672247.6244125,-122.304703547.6232034,0.182425524
-122.304693947.6252204,-122.304671347.6251398,0.851952802
-122.30413419579447.6180757402042,-122.304175847.6181052,0.99883049
-122.303625547.6171147,-122.303721747.6172498,0.999986993
-122.303729547.6100166,-122.303679947.6119389,0.97702263
-122.303602147.6153067,-122.303580947.6170392,0.952574127
-122.303654447.612927,-122.303602147.6153067,0.851952802
-122.304787147.618497,-122.304214947.6181257,0.999088949
-122.306306247.610358,-122.306274647.6129209,0.989013057
-122.306274647.6129209,-122.306207647.6152895,0.991422515
-122.306207647.6152895,-122.306192447.6157964,0.320821301
-122.308862547.6129061,-122.308184447.612906,0.99929033
-122.307534747.6129089,-122.306452347.6129192,0.999997098
-122.308807447.6176102,-122.308811347.6185112,0.999954602
-122.30883268142647.616138584483,-122.308832647.6161468,0.997527377
-122.308826247.6164544,-122.308823847.6165936,0.93991335
-122.308832647.6161468,-122.308826247.6164544,0.991422515
-122.308862547.6129061,-122.308851947.6141176,0.119202922
-122.308851947.6141176,-122.308841247.6152791,0.005220126
-122.308841247.6152791,-122.30883268142647.616138584483,0.952574127
-122.2913247.6176144,-122.291297847.6177673,0.00000373
-122.291383247.6140747,-122.291359847.6152617,0.000123
-122.291344547.6164381,-122.2913247.6176144,3.58E-10
-122.291359847.6152617,-122.291344547.6164381,2.65E-09
-122.291436547.6129189,-122.291383247.6140747,0.731058579
-122.294994447.6236375,-122.296195747.6228314,0.320821301
-122.29641406193547.6233264841198,-122.296414947.6233284,0.989013057
-122.296195747.6228314,-122.296317847.6231077,0.999903898
-122.294994447.6236375,-122.294828747.6236747,0.004070138
-122.302915247.6189332,-122.302648947.6191138,0.999941709
-122.310145547.6155921,-122.308832647.6161468,0.997527377
-122.308832647.6161468,-122.308621547.6162358,0.99966465
-122.307407347.6176,-122.307408747.6185035,0.93991335
-122.307418847.616743,-122.307407347.6176,0.817574476
-122.290246747.6176419,-122.289183947.6176413,0.0000354
-122.289183947.6176413,-122.288644447.6176411,0.010986943
-122.293535147.6176136,-122.292388247.6176047,0.00116951
-122.292388247.6176047,-122.291434947.6175997,0.0000748
-122.294840847.6176205,-122.294205747.6176141,8.76E-08
-122.29614216018347.617623999104,-122.295513147.6176208,0.0000214
-122.2913247.6176144,-122.291230147.6176366,0.00000176
-122.298748947.6176384,-122.298630647.6176372,0.07585818
-122.29616247.6176241,-122.29614216018347.617623999104,0.095349465
-122.297345747.6176303,-122.296822547.6176276,0.004070138
-122.298630647.6176372,-122.298114247.6176324,0.008577485
